Ages 13 to 18,,,,,
Top Negative,,,Top Positive,,
feature,r,p,feature,r,p
at work,-0.2144893677,0,:D,0.3097594409,0
back to work,-0.2097170576,0,XD,0.299062275,0
to work,-0.1914944407,0,<3,0.2967037831,0
blessed,-0.186391302,0,school tomorrow,0.271268055,0
beer,-0.1600786432,0,(:,0.2664560435,0
birthday wishes,-0.1589511102,0,homework,0.262876238,0
to all my,-0.1578285862,0,school,0.2480127069,0
my son,-0.1574241847,0,:P,0.2378729754,0
wishes,-0.1545313911,0,haha,0.232237797,0
husband,-0.1543678064,0,d:,0.2260889801,0
family and friends,-0.154267162,0,like this status,0.2232353989,0
enjoying,-0.1537174997,0,no school,0.2230516639,0
my kids,-0.1529011604,0,english,0.2202888162,0
thankful,-0.152629481,0,prom,0.2202382928,0
a wonderful,-0.1524500374,0,ap,0.2058007046,0
daughter,-0.1512790814,0,: o,0.1982193381,0
blessing,-0.1498938208,0,bored,0.1971798456,0
wonderful,-0.1492091225,0,homecoming,0.1967384052,0
wine,-0.1484297896,0,:/,0.1950129841,0
prayers,-0.1476506028,0,go to school,0.1948249427,0
day to all,-0.1475193275,0,:'(,0.1919779879,0
my daughter,-0.1436408145,0,im,0.1899093103,0
day off,-0.1421828452,0,math,0.1839738186,0
hubby,-0.142084526,0,essay,0.1839021085,0
laundry,-0.1377724352,1.54083047169302E-304,senior,0.1829440593,0
the kids,-0.137745243,5.20684057241597E-305,: l,0.1811032908,0
blessings,-0.1375172473,0,like my status,0.1810281096,0
work,-0.137209614,0,;D,0.1805136723,0
beautiful day,-0.1370221238,4.04912879105593E-302,to school tomorrow,0.1765906905,0
new job,-0.1358889546,4.77121658752622E-301,this status,0.1740595191,0
safe,-0.1349577226,9.27001175973104E-295,<,0.1737668478,0
days off,-0.1340410063,3.57851032445591E-292,:],0.1724529671,0
thankful for,-0.1335324105,7.82316443249635E-285,o.o,0.1712092066,0
fb friends,-0.1314884066,2.68050995278401E-279,-.-,0.1701153132,0
son,-0.1312241803,9.77439129184278E-281,this status and,0.1665308938,0
office,-0.1304358342,2.58683141068114E-277,:),0.1652427214,0
a beautiful,-0.1304283521,1.27628052133634E-272,status and i'll,0.1649445377,0
friends and family,-0.1304017972,1.58937536446527E-274,maths,0.1645589356,0
care of,-0.1295116767,2.12887128850786E-270,like about you,0.1642473049,0
my husband,-0.1285579338,1.8282346142153E-261,chemistry,0.1621886857,0
repost,-0.1277030052,3.25043203952917E-262,< / 3,0.1621346469,0
prayer,-0.1267211175,6.82269000748579E-260,song,0.1619503417,0
company,-0.1253592492,8.60089330249211E-256,:d <3,0.1608900591,0
evening,-0.1253509993,8.06003130637189E-255,idk,0.1606982968,0
women,-0.125181297,5.24346503234669E-255,i like about,0.1604399292,0
re-post,-0.124811788,1.32487507064949E-250,/ 3,0.1587342877,0
blessed to,-0.1245552312,6.89920264456175E-249,-_-,0.1586643318,0
repost if,-0.1244703023,3.05943607161011E-249,i'll tell you,0.1583968062,0
a blessing,-0.1237030203,5.18872556819793E-247,i'll tell,0.1583193809,0
work today,-0.1236598145,6.73093342142314E-248,soo,0.1570283141,0
apartment,-0.1228083205,5.47038397872367E-245,after school,0.1562179046,0
to work tomorrow,-0.1214130555,1.61576137858561E-238,bieber,0.1549603845,0
go to work,-0.1199465086,5.0535581508657E-233,and i'll tell,0.1544869579,0
repost if you,-0.1193985635,1.33992134501745E-229,:(,0.1543985814,0
the birthday wishes,-0.1192165539,4.35571505539824E-229,>:(,0.1521397485,0
paste this to,-0.1191721876,4.69878642493453E-228,at school,0.1515741456,0
my job,-0.1184905981,1.10958190231938E-227,like this,0.1515438366,0
celebrate,-0.1183339124,1.96886201693949E-226,>.<,0.1505523858,0
from work,-0.1173139522,5.5586842332496E-223,i hate,0.1505131729,0
this morning,-0.116940374,7.25096382051116E-219,physics,0.1501721391,0
woman,-0.1168985189,7.08779540355472E-221,: 3,0.1488650584,0
bless,-0.1166963713,1.82479196490213E-220,today was,0.1487807102,0
have a wonderful,-0.1166468658,2.39817996934599E-217,random,0.1473349761,0
a beautiful day,-0.1159858216,7.11920736305911E-216,justin bieber,0.1466343435,0
enjoy,-0.1157869598,3.20430147532248E-217,biology,0.146558657,0
drinks,-0.1157142645,2.66813959587636E-217,first impression,0.1459467057,0
work tomorrow,-0.1155453184,1.27872344976135E-215,justin,0.1454378228,0
day at work,-0.1138791021,4.74543789965353E-210,seniors,0.1442662278,0
makes your life,-0.113492765,4.85038156051419E-207,(8 ),0.1440962253,0
my hubby,-0.1132850721,1.07543674253472E-203,my status and,0.1436497816,0
job,-0.1132057664,1.03897420040669E-207,hate,0.1434435946,0
grateful,-0.1130200092,2.33314563656396E-205,hw,0.142883331,0
please copy,-0.1129167138,6.68257969820959E-206,camp,0.1426046331,0
thank,-0.112451156,9.34471421096686E-201,status and see,0.1425420899,0
off work,-0.1120220873,5.31087523021901E-203,ipod,0.1421450762,0
:-),-0.1118759952,2.14538224065928E-202,wanna,0.1412830533,0
bills,-0.1111022228,4.98277021345745E-200,chem,0.1401090359,0
off to work,-0.1107628064,2.78503939165237E-198,pokemon,0.1400697375,0
let me know,-0.1099563917,1.48140618180714E-195,stupid,0.1397658893,0
ready to,-0.1099096509,1.4307028789087E-193,XP,0.1393621227,0
families,-0.1098327286,1.03102936619447E-194,school tomorrow .,0.139239584,0
everyone for,-0.1098283799,9.58041291382334E-194,epic,0.1389676707,0
enjoying the,-0.109534007,7.38194662663032E-194,braces,0.1388321181,0
", copy and",-0.1094954706,1.00273386260062E-191,was fun,0.137609024,0
tax,-0.1086771369,3.06455158793783E-191,geometry,0.1367728973,2.73014839725314E-305
support,-0.1083083932,8.95019593206971E-190,funn,0.1362054675,6.56573042318478E-301
taxes,-0.1081978922,1.34820192870621E-189,:D D,0.1356389461,2.35076637121607E-299
wishing,-0.1077144102,3.64003936490825E-185,(;,0.1355777918,1.55088779141868E-298
area,-0.107684835,9.03894315175552E-188,formspring,0.135450323,2.00384305541777E-299
re-post if,-0.1075185576,3.34143769818025E-185,my room,0.1353012601,1.02858284419917E-297
pay,-0.10736561,1.23691708890663E-186,was amazing,0.1351884776,9.09800713507017E-297
visit,-0.1072832918,1.91857642796332E-184,going to school,0.1347456934,1.31775609839834E-295
safe and,-0.1072022825,6.25533977495899E-185, =d,0.1341975268,8.19849947675035E-294
blessed to have,-0.1069608299,5.94846424143423E-183,text me,0.1339618787,1.19969089440128E-292
birthday wishes !,-0.1063187391,1.64711819081286E-180,no school tomorrow,0.1337147406,3.06692083212529E-291
heart for a,-0.1062491116,2.07989384433299E-181,rate you,0.1334619368,1.47845343484918E-290
at work .,-0.1061883799,2.18533001174654E-182,awkward,0.1332586149,1.6101414385857E-289
shift,-0.1061435627,2.45033973791009E-182,like this if,0.1332286991,4.04001789067759E-289
daughters,-0.1060094188,7.49746801747302E-181,:|,0.1320460852,4.76072350060006E-284
drink,-0.1059704742,9.92115119635144E-182,so bored,0.1315830214,4.14173623852087E-282
