Ages 23 to 29,,,,,
Top Negative,,,Top Positive,,
feature,r,p,feature,r,p
<3,-0.1585237173,0,at work,0.1215710872,1.66069589111524E-239
xd,-0.1557970967,0,back to work,0.1144985304,8.87663746247188E-212
:d,-0.1543153743,0,beer,0.0975952057,5.70505016884085E-153
school,-0.1382034677,0,to work,0.0961779768,1.1870584633013E-148
homework,-0.1381300602,0,office,0.0909454782,4.87839000588568E-133
(:,-0.1299169379,1.70095139004294E-272,days off,0.0906323759,1.13061313135073E-131
school tomorrow,-0.1222504106,2.82585949607026E-241,new job,0.0864955763,6.4085737498659E-120
haha,-0.1155891255,6.83042832435058E-216,wine,0.086379829,3.86455538583899E-119
english,-0.1133856165,1.43721287570083E-208,enjoying,0.08585785,1.46341245371876E-117
d:,-0.1107789103,1.26101351152495E-198,day off,0.084542508,6.05775381457263E-114
essay,-0.1101658646,1.23974373619154E-196,drinks,0.0839257247,7.84671685598168E-113
like this status,-0.1073095315,1.94601775711632E-186,wedding,0.0827915969,3.22079628465108E-108
:],-0.1032506664,2.47532642839258E-171,new place,0.0792147852,3.60367449789258E-100
no school,-0.1031465023,1.7135903995893E-171,blessed,0.0758985209,7.17934437684651E-090
math,-0.1031194775,7.33020126185072E-172,apartment,0.074269856,1.1541233481212E-087
prom,-0.1018365804,4.16497507017015E-167,a drink,0.0735424268,5.18560774872165E-086
: o,-0.1006319196,2.28251036860206E-163,laundry,0.0724317677,6.93777920360073E-082
:/,-0.0996356379,2.80127337666086E-160,much needed,0.0723995565,1.83036891617511E-082
:p,-0.0989267562,1.43615233310483E-157,to work tomorrow,0.0709011165,2.28932543206208E-079
this status,-0.0975067315,2.21069565398521E-153,hubby,0.0708180996,9.27802011404466E-077
idk,-0.0947891959,1.03930551317888E-144,at work ...,0.0700899951,9.31419688452018E-078
senior,-0.0923929188,2.36781904103004E-137,a beer,0.0700607645,1.15620963853697E-077
o.o,-0.0915321649,8.71765254800805E-135,company,0.06975315,4.11462043807682E-077
:'(,-0.0910217886,8.73516691513794E-132,work,0.0689705921,2.58722027765778E-075
homecoming,-0.0893210538,6.80129732953046E-128,thankful,0.0686852115,7.38999804523657E-073
pokemon,-0.0863549163,5.96698625367714E-119,excited about,0.0686559237,1.90689922211344E-073
 =],-0.0856366543,2.60040657391485E-117,my job,0.0682648399,1.31570092798286E-073
like my status,-0.0855933749,1.76822790732225E-117,after work,0.0679961209,4.56882450961398E-073
-_-,-0.0854404436,4.40401389514503E-117,day at work,0.0673380199,1.46074742633674E-071
go to school,-0.0850740326,1.17988155502474E-115,go to work,0.0661538946,7.59699603003617E-069
bored,-0.0848465831,2.02015301788227E-115,vacation,0.0660792908,2.09805785985919E-068
<,-0.0843775897,1.01629805148032E-113,care of,0.0658765221,9.65936518506151E-068
< /,-0.0843744821,4.35611456235758E-113,apt,0.0657777802,3.45371015330563E-068
< / 3,-0.0840561987,3.14871192123891E-112,let me know,0.0654918199,1.54946382691178E-067
ap,-0.0837635731,2.07359506290196E-112,my hubby,0.0652688281,1.04667898353624E-065
-.-,-0.0836510075,4.11347247726936E-112,from work,0.0650257464,1.67763655261888E-066
/ 3,-0.0824015574,8.14684784908849E-108,had a blast,0.0644488862,8.13983029417552E-065
:d <3,-0.082249016,7.4989102109034E-107,off work,0.0640475464,1.93679414027593E-064
;d,-0.0815010929,9.03559352802355E-106,errands,0.0639068204,7.27099189040812E-064
: l,-0.0807115666,4.11890236399594E-104,my babies,0.0637836017,2.79941555811136E-063
camp,-0.0802227794,8.07086501493339E-103,my day off,0.0636223445,1.80590469674308E-063
>.<,-0.079916293,5.85891348722026E-102,celebrate,0.0635695194,2.72048253818961E-063
like about you,-0.0797999144,9.74876719043658E-102,wishes,0.0634938111,1.44995706643221E-062
>:(,-0.0791560709,5.5206236351366E-100,grocery,0.0632122589,3.00362288568352E-062
to school tomorrow,-0.0791135575,1.74124132597667E-099,bills,0.0630897831,1.40935725844123E-062
chem,-0.0789910889,1.15077799559315E-099,work today,0.0630467565,2.81460452455533E-062
college,-0.0787567845,4.9839092614261E-099,work tomorrow,0.0627722982,1.27284129520293E-061
im,-0.0787000982,6.54436317501274E-099,day to all,0.0626343636,3.30892527934054E-061
summer,-0.0784497006,1.81268392834141E-097,everyone for,0.0622188515,2.89889505967215E-060
my room,-0.0784258058,7.38375786723838E-098,relaxing,0.0618875045,1.24471326484357E-059
this status and,-0.0783828176,4.30498170093072E-098,drinking,0.0617526583,7.42547289280385E-060
chemistry,-0.0782019892,1.24604343164292E-097,the bar,0.0613597022,4.86908169557372E-059
i like about,-0.0779068815,7.87615296718974E-097,shift,0.0612025544,9.37875952325649E-059
hw,-0.0778273932,1.24086867609055E-096,@,0.0611411891,1.49436165494469E-058
status and,-0.0774135978,2.77829819805622E-095,@ work,0.0611390968,1.53652365983797E-058
 =D,-0.0769930487,1.51259305490238E-094,beers,0.0609841345,3.90289325108226E-058
: 3,-0.076972402,2.0475461831195E-094,the office,0.0608588418,4.59566000583239E-058
status and i'll,-0.0769193209,2.409193875871E-094,celebrating,0.0602707448,1.2931220351976E-056
song,-0.076731113,7.03370443219187E-094,at work .,0.0599802084,2.72388927423704E-056
spring break,-0.0764934557,5.29869878385689E-093,:-(,0.0597617611,9.37396397597575E-056
soo,-0.0760733997,2.05453136146125E-090,birthday wishes !,0.0597137931,4.89971520438392E-055
justin,-0.075798523,1.48964315845477E-091,everyone for the,0.059581265,2.52558341664318E-055
],-0.0756141684,4.31956099400749E-091,husband,0.0590871831,7.94518401648464E-053
text me,-0.0755941973,5.24290775431321E-091,a vacation,0.0590155753,3.04724098880876E-054
epic,-0.0755783518,3.22526303881821E-090,birthday wishes,0.0589216996,2.00153369367871E-053
ipod,-0.0747443725,5.95817374236856E-089,to celebrate,0.0589161257,6.37296424896506E-054
i'll tell you,-0.0745381291,2.05292182382025E-088,fingers crossed,0.0587466673,1.74204887955495E-053
like this,-0.0745372011,2.15504855302414E-088,married,0.0586858618,3.53107790101847E-053
physics,-0.0743343226,1.39329673975777E-087,taxes,0.0585310934,1.64943961714726E-053
at school,-0.0742943224,2.3451867684408E-087,women,0.0582699299,5.39839253022655E-053
i'll tell,-0.0742696582,9.4155477293988E-088,poor baby,0.058220861,2.29988298820125E-052
bieber,-0.0739792881,4.40306884561765E-087,thankful for,0.058147546,1.21243048434848E-051
maths,-0.0737018813,2.21600152378856E-086,ready to,0.058008081,6.62908631105223E-052
class,-0.0733363706,1.8680351516156E-085,of wine,0.0579902144,3.56706057853863E-052
biology,-0.0727707491,4.25298035119892E-084,to enjoy,0.0577774841,5.4239546988736E-052
formspring,-0.0727546727,3.91200364568954E-084,bar,0.0576351432,9.19807093124154E-052
exams,-0.0725763019,1.03791541467863E-083,potty,0.0575781583,2.09490218860665E-051
:),-0.0723302329,1.22481197632751E-080,thank u,0.057206702,1.13708701970798E-050
and i'll tell,-0.0721012601,1.47536281754215E-082,blessing,0.0571698236,2.45345804479892E-050
seniors,-0.0717490714,9.65462209782707E-082,:-),0.057101618,1.17876553842507E-050
xp,-0.0714647133,4.41359235642676E-081,drink,0.0569969374,1.33188785254574E-050
today was,-0.0714400886,1.11630615307871E-080,wonderful,0.0566336994,1.00217106954119E-047
